chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	137509421	56.74	0	9154
Supercontig_1.1_region	2423571	137509421	56.74	0	9154
Supercontig_1.2	2215196	134089631	60.53	0	585
Supercontig_1.2_region	2215196	134089631	60.53	0	585
Supercontig_1.3	1874050	126395544	67.45	0	4280
Supercontig_1.3_region	1874050	126395544	67.45	0	4280
Supercontig_1.4	1787903	115886458	64.82	0	1870
Supercontig_1.4_region	1787903	115886458	64.82	0	1870
Supercontig_1.5	1456586	102472815	70.35	0	839
Supercontig_1.5_region	1456586	102472815	70.35	0	839
Supercontig_1.6	814710	65976564	80.98	0	511
Supercontig_1.6_region	814710	65976564	80.98	0	511
Supercontig_1.7	779898	68498207	87.83	0	2207
Supercontig_1.7_region	779898	68498207	87.83	0	2207
Supercontig_1.8	744036	73026126	98.15	0	2962
Supercontig_1.8_region	744036	73026126	98.15	0	2962
MT_CBS_6936	24896	394449824	15843.90	0	28660
MT_CBS_6936_region	24896	394449824	15843.90	0	28660
total	12120846	1218304590	100.51	0	28660
total_region	12120846	1218304590	100.51	0	28660
