chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	628403394	259.29	0	2961
Supercontig_1.1_region	2423571	628403394	259.29	0	2961
Supercontig_1.2	2215196	600249451	270.97	0	1149
Supercontig_1.2_region	2215196	600249451	270.97	0	1149
Supercontig_1.3	1874050	590434077	315.06	0	12112
Supercontig_1.3_region	1874050	590434077	315.06	0	12112
Supercontig_1.4	1787903	499588673	279.43	0	1245
Supercontig_1.4_region	1787903	499588673	279.43	0	1245
Supercontig_1.5	1456586	416874188	286.20	0	1482
Supercontig_1.5_region	1456586	416874188	286.20	0	1482
Supercontig_1.6	814710	236628981	290.45	0	2431
Supercontig_1.6_region	814710	236628981	290.45	0	2431
Supercontig_1.7	779898	224287953	287.59	0	15149
Supercontig_1.7_region	779898	224287953	287.59	0	15149
Supercontig_1.8	744036	227795564	306.16	0	10228
Supercontig_1.8_region	744036	227795564	306.16	0	10228
MT_CBS_6936	24896	425033169	17072.35	23	38679
MT_CBS_6936_region	24896	425033169	17072.35	23	38679
total	12120846	3849295450	317.58	0	38679
total_region	12120846	3849295450	317.58	0	38679
