chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	597690902	246.62	0	3131
Supercontig_1.1_region	2423571	597690902	246.62	0	3131
Supercontig_1.2	2215196	587413484	265.17	0	1419
Supercontig_1.2_region	2215196	587413484	265.17	0	1419
Supercontig_1.3	1874050	561251739	299.49	0	12236
Supercontig_1.3_region	1874050	561251739	299.49	0	12236
Supercontig_1.4	1787903	481989997	269.58	0	1558
Supercontig_1.4_region	1787903	481989997	269.58	0	1558
Supercontig_1.5	1456586	420774737	288.88	0	1197
Supercontig_1.5_region	1456586	420774737	288.88	0	1197
Supercontig_1.6	814710	243100515	298.39	0	2812
Supercontig_1.6_region	814710	243100515	298.39	0	2812
Supercontig_1.7	779898	233966500	300.00	0	16139
Supercontig_1.7_region	779898	233966500	300.00	0	16139
Supercontig_1.8	744036	233561186	313.91	0	9743
Supercontig_1.8_region	744036	233561186	313.91	0	9743
MT_CBS_6936	24896	385727302	15493.55	31	35631
MT_CBS_6936_region	24896	385727302	15493.55	31	35631
total	12120846	3745476362	309.01	0	35631
total_region	12120846	3745476362	309.01	0	35631
