chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	508640632	209.87	0	2492
Supercontig_1.1_region	2423571	508640632	209.87	0	2492
Supercontig_1.2	2215196	482706261	217.91	0	12240
Supercontig_1.2_region	2215196	482706261	217.91	0	12240
Supercontig_1.3	1874050	492214301	262.65	0	18081
Supercontig_1.3_region	1874050	492214301	262.65	0	18081
Supercontig_1.4	1787903	402120844	224.91	0	1920
Supercontig_1.4_region	1787903	402120844	224.91	0	1920
Supercontig_1.5	1456586	330061506	226.60	0	22762
Supercontig_1.5_region	1456586	330061506	226.60	0	22762
Supercontig_1.6	814710	204076743	250.49	0	1493
Supercontig_1.6_region	814710	204076743	250.49	0	1493
Supercontig_1.7	779898	189561147	243.06	0	12286
Supercontig_1.7_region	779898	189561147	243.06	0	12286
Supercontig_1.8	744036	194653825	261.62	0	12002
Supercontig_1.8_region	744036	194653825	261.62	0	12002
MT_CBS_6936	24896	529526009	21269.52	0	46021
MT_CBS_6936_region	24896	529526009	21269.52	0	46021
total	12120846	3333561268	275.03	0	46021
total_region	12120846	3333561268	275.03	0	46021
