chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	179291737	73.98	0	63206
Supercontig_1.1_region	2423571	179291737	73.98	0	63206
Supercontig_1.2	2215196	166240531	75.05	0	852
Supercontig_1.2_region	2215196	166240531	75.05	0	852
Supercontig_1.3	1874050	154929109	82.67	0	13684
Supercontig_1.3_region	1874050	154929109	82.67	0	13684
Supercontig_1.4	1787903	137403789	76.85	0	4228
Supercontig_1.4_region	1787903	137403789	76.85	0	4228
Supercontig_1.5	1456586	111416086	76.49	0	1356
Supercontig_1.5_region	1456586	111416086	76.49	0	1356
Supercontig_1.6	814710	62225745	76.38	0	1668
Supercontig_1.6_region	814710	62225745	76.38	0	1668
Supercontig_1.7	779898	68040568	87.24	0	236190
Supercontig_1.7_region	779898	68040568	87.24	0	236190
Supercontig_1.8	744036	57452920	77.22	0	2602
Supercontig_1.8_region	744036	57452920	77.22	0	2602
MT_CBS_6936	24896	74619444	2997.25	0	6925
MT_CBS_6936_region	24896	74619444	2997.25	0	6925
total	12120846	1011619929	83.46	0	236190
total_region	12120846	1011619929	83.46	0	236190
