chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	653117152	269.49	0	8895
Supercontig_1.1_region	2423571	653117152	269.49	0	8895
Supercontig_1.2	2215196	611166606	275.90	0	3169
Supercontig_1.2_region	2215196	611166606	275.90	0	3169
Supercontig_1.3	1874050	577438741	308.12	0	11603
Supercontig_1.3_region	1874050	577438741	308.12	0	11603
Supercontig_1.4	1787903	526713795	294.60	0	1416
Supercontig_1.4_region	1787903	526713795	294.60	0	1416
Supercontig_1.5	1456586	415855016	285.50	0	3017
Supercontig_1.5_region	1456586	415855016	285.50	0	3017
Supercontig_1.6	814710	253712056	311.41	0	2654
Supercontig_1.6_region	814710	253712056	311.41	0	2654
Supercontig_1.7	779898	213448212	273.69	0	22509
Supercontig_1.7_region	779898	213448212	273.69	0	22509
Supercontig_1.8	744036	229730807	308.76	0	10234
Supercontig_1.8_region	744036	229730807	308.76	0	10234
MT_CBS_6936	24896	518470815	20825.47	0	47738
MT_CBS_6936_region	24896	518470815	20825.47	0	47738
total	12120846	3999653200	329.98	0	47738
total_region	12120846	3999653200	329.98	0	47738
