chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	607154719	250.52	0	3521
Supercontig_1.1_region	2423571	607154719	250.52	0	3521
Supercontig_1.2	2215196	568088046	256.45	0	12849
Supercontig_1.2_region	2215196	568088046	256.45	0	12849
Supercontig_1.3	1874050	574992769	306.82	0	18890
Supercontig_1.3_region	1874050	574992769	306.82	0	18890
Supercontig_1.4	1787903	479469249	268.17	0	2826
Supercontig_1.4_region	1787903	479469249	268.17	0	2826
Supercontig_1.5	1456586	428959240	294.50	0	24132
Supercontig_1.5_region	1456586	428959240	294.50	0	24132
Supercontig_1.6	814710	253292922	310.90	0	3995
Supercontig_1.6_region	814710	253292922	310.90	0	3995
Supercontig_1.7	779898	265659858	340.63	0	16538
Supercontig_1.7_region	779898	265659858	340.63	0	16538
Supercontig_1.8	744036	237207868	318.81	0	14723
Supercontig_1.8_region	744036	237207868	318.81	0	14723
MT_CBS_6936	24896	547024122	21972.37	1	49327
MT_CBS_6936_region	24896	547024122	21972.37	1	49327
total	12120846	3961848793	326.86	0	49327
total_region	12120846	3961848793	326.86	0	49327
